dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE110487,SIG001,T2,31,-1.2857712075836494,-1.2360387856199937,-1.6686216072367714,-0.9016199385205868,0.1318207546233011,-1.5399986746254652,-1.0206857958593725,-1.3046023428800766,0.064516129032258,0.701468084270997,-1.2833666573262192,0.049797810280145,-1.2857712075836505,0.130693594835723,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG002,T2,31,-0.6233480169703263,-0.7412541465756051,-1.4073553156766008,-0.099504302571944,0.1694731105868873,-0.9434907490540896,-0.2843748357524859,-1.1988343546222202,0.2258064516129032,0.4687066986097108,-0.6332924974123796,0.0681996223537221,-0.6233480169703272,0.1719818208088078,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG003,T2,31,-0.7868559868794359,-0.911971570552519,-1.3336466757293166,-0.262448636528346,0.1452342956874025,-1.0664986223299189,-0.5005140983419198,-0.0834789685842525,0.1935483870967742,0.6052295613193228,-0.7811204926592419,0.0535051862786938,-0.7868559868794357,0.1510857629803333,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG004,T2,31,0.9322148605921704,0.9027835579706202,0.4899860577154629,1.513451714916895,0.1347933195224405,0.6619279008984681,1.1934966584462667,0.1228005745739033,0.9032258064516128,0.6580251872305964,0.9278740443648033,0.05934824279154,0.9322148605921694,0.1368770272156756,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG022,T2,31,0.5634089336759799,0.554116477492478,0.1044888461943453,0.815252425097597,0.1048219701076879,0.3651929913183422,0.7738654169156528,0.6343765596611605,0.7741935483870968,0.8260153877318612,0.5513443362761961,0.0558371406428912,0.5634089336759799,0.1031748387715672,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG023,T2,31,-0.2680006867992603,-0.1229153408670837,-0.6164367240358811,0.111913232219555,0.121792176505626,-0.5052751637037893,-0.0383180594786608,-0.6700221754754553,0.3548387096774194,0.7407684735199802,-0.2674794405639277,0.0502629108303412,-0.2680006867992602,0.1246847591655917,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG033,T2,31,0.1763836941232022,0.3643719813790038,-0.2303120492110948,0.8382840665616882,0.1757331795530729,-0.1955059318690392,0.4941030484508145,0.1965896827313867,0.6129032258064516,0.4649283984928122,0.1939624494253598,0.1069246394081273,0.1763836941232006,0.177708346085646,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG034,T2,31,-0.2165347398037959,-0.1856754816002786,-0.666543225738459,0.3814805413252333,0.1477930975229296,-0.5178024254696564,0.0627513598540807,-0.0165359321680118,0.4516129032258064,0.7229141765625415,-0.2139084223693796,0.0671772807128268,-0.2165347398037981,0.1512215278132346,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG001,T1,93,-0.3650644826509509,-0.3063170720839029,-0.7787610969505981,0.0003063199719953,0.0673086602813578,-0.4928259456747892,-0.2338801666325133,-0.520177512164267,0.2580645161290322,0.7481266307680383,-0.34604900470953,0.0299701415202968,-0.3650644826509519,0.0697808317127933,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG001,T4,68,-0.7899000454624185,-0.6770298767722429,-1.1733324796976716,-0.2386197698105008,0.0997476406752125,-1.001176526845004,-0.5987687984209643,-1.1255223666881469,0.1323529411764706,0.5695670927861726,-0.7741910084719477,0.0464271261133861,-0.7899000454624207,0.0989695631110695,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG002,T1,93,-0.0562347099885245,-0.0336395906931969,-0.4050336291530279,0.2942809095714002,0.0572397300557867,-0.1659997880637544,0.0567231727303773,-0.1135395873985436,0.4731182795698925,0.838588510084893,-0.0520310068948153,0.0174589437024767,-0.0562347099885249,0.0581540062003401,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG002,T4,68,-0.1370508057004767,0.0430990834792152,-0.6575953173514819,0.4574574208369935,0.1154809679923875,-0.368825286442269,0.0695971194334039,-0.2767097391459023,0.5441176470588235,0.5211089547444288,-0.1359210673022341,0.0397989309930698,-0.1370508057004767,0.1170395668683521,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG003,T1,93,-0.1534641773804949,-0.1722356346452569,-0.682768250822572,0.3529622421736958,0.090966882205674,-0.334724711488875,0.0163461452769456,-0.0227241281051587,0.4516129032258064,0.5869305524859808,-0.1489706214826863,0.0271477437003483,-0.1534641773804974,0.0922274883141194,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG003,T4,68,-0.60193957286053,-0.6044301207529096,-1.3276460248659512,0.2436852023041501,0.1377064763113198,-0.8900713211342535,-0.3325498740474715,-0.0891318886187555,0.3529411764705882,0.2159910702049861,-0.5960357180086744,0.037546587135336,-0.6019395728605269,0.1364940463465102,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG004,T1,93,0.1206989910054785,0.1231659955527197,-0.322100608525295,0.7030519504937226,0.0825622278368179,-0.0469548007117293,0.2767742956951005,0.0173680129781678,0.5913978494623656,0.7288820758343034,0.1238207397781126,0.0310408115230388,0.1206989910054786,0.0818397875979221,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG004,T4,68,0.3621844920318702,0.4560222336083187,-0.197827923579463,1.0521511546273945,0.1154050267110609,0.135447987961958,0.5837472107938546,0.0521166325061917,0.6470588235294118,0.5413966716457348,0.3727731414762575,0.0371775133208916,0.3621844920318703,0.1153542525335882,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG022,T1,93,0.0075607344559361,-0.030940902301466,-0.3625023731613722,0.3265692888363834,0.0634219191217507,-0.1182028693097354,0.1287508941975035,0.0116576846741589,0.4731182795698925,0.7925503159037756,0.0114217520115351,0.0261636565581782,0.0075607344559361,0.0657112586395315,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG022,T4,68,0.2054535725843616,0.0919154792048946,-0.2754877569434633,0.6429451519970442,0.0925157926460476,0.020116850041247,0.3791100724369003,0.3167831086155179,0.5735294117647058,0.6177821770969899,0.2098861706720618,0.0335063297324587,0.2054535725843604,0.0930459115839177,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG023,T1,93,-0.0560102237616977,-0.0589719765866376,-0.3316047065575929,0.2084543569048488,0.0474882060630873,-0.1478130785416833,0.036887304987952,-0.154755011595752,0.4301075268817204,0.8803981473714686,-0.0601408384751064,0.0168669036356505,-0.0560102237616976,0.0466300601030361,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG023,T4,68,-0.2365135349368212,-0.3411867757682342,-0.7247852267370679,0.1632690578898247,0.1073769987901829,-0.4420931703811721,-0.020949089775534,-0.6534816750139448,0.3382352941176471,0.3763841742725473,-0.238928792146414,0.0431467065980876,-0.2365135349368206,0.1064199829464475,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG033,T1,93,-0.1450315943704465,-0.0764632402601709,-0.5635541561669822,0.2927269213424339,0.0772580913045146,-0.2967271779505582,0.0053664302759155,-0.2135086902261396,0.4516129032258064,0.7073815089868982,-0.1496492562437705,0.0234257438169122,-0.1450315943704475,0.0788588505597866,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG033,T4,68,0.1337305784515653,0.2048845349255851,-0.2571407035738748,0.7914563795483043,0.1115402556231436,-0.091683812715148,0.3509663852758614,0.1968718662462416,0.6029411764705882,0.5224690224941977,0.1408321023476887,0.0445272151932785,0.1337305784515661,0.1160343416911775,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG034,T1,93,0.0388778610600894,-0.0466256899443013,-0.3376927255388545,0.4332407903330921,0.0841487816139405,-0.1235682475838636,0.2060106238944493,0.0037548781862978,0.4516129032258064,0.703259647090676,0.0236641654471087,0.035942112963452,0.0388778610600896,0.0842103732642297,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG034,T4,68,-0.1169678116171265,-0.0582282786297333,-0.8715087656765501,0.4891482925904956,0.1101448928997933,-0.3268576867694498,0.1002144778559751,-0.0112969148086957,0.4705882352941176,0.5998269313942162,-0.1172412280406275,0.0337047372736937,-0.116967811617128,0.1118738659019226,CONVERGED,PRESPECIFIED_VALIDATION
GSE54514,SIG001,T1,31,-0.4193548159464256,-0.3915721844993343,-1.1978540650726364,0.2931508048932904,0.2237223590174865,-0.8313777294944638,0.0174187007809315,-0.3332924569221188,0.3225806451612903,0.1049090530045169,-0.4271794192917598,0.0962283262187648,-0.4193548159464254,0.2285544881669124,CONVERGED,PILOT
GSE54514,SIG001,T2,28,-0.9255686468028926,-0.8153443201516128,-2.0446333198868363,0.08414003710574,0.2349189585797986,-1.3883887988785992,-0.4556022292596287,-0.735618232133114,0.2857142857142857,0.1096927792040135,-0.9256588527325958,0.0750381990132408,-0.9255686468028912,0.238206215992874,CONVERGED,PILOT
GSE54514,SIG001,T3,18,-0.4213661345923834,-0.4632316681747755,-1.871579816360534,0.6785060043218201,0.3484472154069203,-1.1165967577504814,0.2694307865593249,-0.3348910014187443,0.3888888888888889,-0.1067470446625607,-0.4486211617731859,0.2004548198785454,-0.4213661345923831,0.3461932637843231,CONVERGED,PILOT
GSE54514,SIG001,T4,14,-0.8827859273834088,-1.2241712599829402,-1.6065728393154874,-0.3851976204752484,0.387763557527234,-1.5924553093653744,-0.0752420967906642,-0.7016156235379353,0.1428571428571428,-0.5499814608413094,-0.8964704640738058,0.26453096284946,-0.8827859273834088,0.3310506929969619,CONVERGED,PILOT
GSE54514,SIG002,T1,31,-0.1512570034140688,-0.2158752367413006,-0.6898667427983595,0.3802447506387599,0.1812175381731201,-0.5107407100771288,0.1919806674645789,-0.1923925938225812,0.4193548387096774,0.349694765756713,-0.1527553310811765,0.074569700744955,-0.1512570034140693,0.1834342910657771,CONVERGED,PILOT
GSE54514,SIG002,T2,28,-0.0806972145994935,-0.1656199364220979,-0.9158668566488144,0.7541439353120436,0.2264777117139058,-0.5219378238739029,0.3698978101950628,-0.1026434881071428,0.4285714285714285,0.0804913351673687,-0.069632251391238,0.1063757897819525,-0.0806972145994961,0.2292005781657518,CONVERGED,PILOT
GSE54514,SIG002,T3,18,0.2041755603494993,-0.0168426078047786,-0.6980526228971102,1.047260991716218,0.2798837148786021,-0.321832399649582,0.7755965220163832,0.2597027890555543,0.5,0.1505418985951695,0.1842764647309816,0.1747763623028112,0.2041755603494975,0.2904325921269972,CONVERGED,PILOT
GSE54514,SIG002,T4,14,-0.2715841690750945,0.0533316001825416,-1.2205985794264291,0.723003514995304,0.3243519057393424,-0.9395619267176072,0.3560390304778292,-0.34544372525,0.5714285714285714,-0.5986660138068032,-0.2653235549051958,0.1723128498875248,-0.2715841690750978,0.2904160801335433,CONVERGED,PILOT
GSE54514,SIG003,T1,31,-0.4285675132032493,-0.207720889932319,-1.1267646618760698,0.285313167144875,0.190814923545866,-0.8011566866475534,-0.0632672649544905,-0.0581532759330188,0.3548387096774194,0.2693364232333504,-0.418135427221207,0.0792356236445353,-0.4285675132032507,0.1903322836080297,CONVERGED,PILOT
GSE54514,SIG003,T2,28,-0.2660416779614452,-0.234149383898149,-1.2758131358016809,0.4857096798556736,0.2278278618797225,-0.7042553849919353,0.169078811700719,-0.0360997850549582,0.4285714285714285,-0.1131767624401827,-0.2577400314054137,0.0816451466144364,-0.2660416779614455,0.2200045332823723,CONVERGED,PILOT
GSE54514,SIG003,T3,18,-0.1332453809963848,-0.1086629009000275,-1.5378495532021286,0.7696028062827502,0.3648225399629236,-0.8119154307637291,0.6036811086441278,-0.0180803611313584,0.4444444444444444,-0.0062096308598301,-0.1432526755869888,0.1767128356523193,-0.1332453809963836,0.3672642324029548,CONVERGED,PILOT
GSE54514,SIG003,T4,14,-0.2535405595270996,-0.0452992977945797,-1.101698387877986,0.6582781308286786,0.4011343694789256,-1.0023830286574409,0.5789167431212446,-0.0344034805815972,0.5,-0.4196079876676059,-0.2866897314526252,0.2601581966495858,-0.253540559527098,0.3509980680582124,CONVERGED,PILOT
GSE54514,SIG004,T1,31,0.2647687367363289,0.0932085494179125,-0.464331353554876,1.0467360688727505,0.2094285262527482,-0.1441666611188996,0.6791518136366155,0.0148302349973033,0.6129032258064516,0.1223740152545442,0.2691198600707545,0.083284996182927,0.2647687367363289,0.217760118663526,CONVERGED,PILOT
GSE54514,SIG004,T2,28,0.3414568997347185,-0.1805127384062923,-0.6161647853651548,1.40465460049003,0.2378922020503764,-0.1005884932733573,0.8062615629550517,0.0191256948495374,0.4642857142857143,0.110168788587126,0.3327271735052664,0.086850809138145,0.3414568997347195,0.2401751403407565,CONVERGED,PILOT
GSE54514,SIG004,T3,18,0.0613594716262871,-0.0171004362017729,-0.5386320648328481,1.1123345537650229,0.2948066027203418,-0.5217489022675073,0.6169033523711054,0.0034368686981137,0.5,0.0386471148543397,0.0574399852178819,0.1244716530177342,0.0613594716262872,0.3009497328241525,CONVERGED,PILOT
GSE54514,SIG004,T4,14,0.5811404654642642,0.5509144515223767,-0.4462721427265159,1.8756874357922724,0.3524265075221366,-0.1473404281270702,1.215878863144334,0.0325508584416445,0.6428571428571429,-0.2336696504123784,0.5876588702158337,0.1834144031848881,0.5811404654642645,0.3336292446406145,CONVERGED,PILOT
GSE54514,SIG022,T1,31,0.1658406424649951,-0.1539692329713907,-0.3323037051845943,1.074234565713247,0.1669191965291797,-0.1700243879946254,0.497631482153709,0.1683378442910739,0.4516129032258064,0.514761166879858,0.1637181385645538,0.0615265339246182,0.1658406424649953,0.1673164034661509,CONVERGED,PILOT
GSE54514,SIG022,T2,28,0.0140993846841852,0.056688767120867,-0.6371688381313697,0.7088131025965619,0.1819635544546278,-0.3276000360706914,0.3669367073587198,0.0143116909599968,0.5714285714285714,0.4587672348799071,0.0127618828836359,0.0674592588699276,0.0140993846841858,0.1842987741015644,CONVERGED,PILOT
GSE54514,SIG022,T3,18,0.1531292505241713,-0.1557116779821589,-0.5908578961457968,0.8476307801797096,0.2495626052967681,-0.3250823383977294,0.6474417428676301,0.1554350462468076,0.4444444444444444,0.2506041721279504,0.1576782332164646,0.112918214089296,0.153129250524171,0.2633652812368103,CONVERGED,PILOT
GSE54514,SIG022,T4,14,0.2705091237703241,0.3698193489214303,-0.0510330270234032,0.806043382852118,0.2249168402335952,-0.1808104137060736,0.6900946657472233,0.2745824068196997,0.7142857142857143,0.5089472355906948,0.2636743390240464,0.1348765546925438,0.270509123770324,0.2405015869988057,CONVERGED,PILOT
GSE54514,SIG023,T1,31,-0.4620175596485778,-0.5768043212490255,-0.8760429901719827,-0.0495479755150475,0.1906206122753019,-0.8259092418910766,-0.0918444522111192,-0.6926180396209679,0.2258064516129032,0.4570701669321746,-0.4653851853831749,0.0883855263671277,-0.4620175596485782,0.1937696265860899,CONVERGED,PILOT
GSE54514,SIG023,T2,28,-0.1478033316676605,-0.3713544968984794,-0.7124171334078299,0.1754442544641989,0.2007034954741893,-0.5280127296192729,0.2708225992916011,-0.221574378919643,0.3928571428571428,0.2868774325805915,-0.1585784367068907,0.0951344895025968,-0.1478033316676605,0.2023411940382039,CONVERGED,PILOT
GSE54514,SIG023,T3,18,-0.6630697001033902,-0.7225723371040085,-1.6889666350234616,-0.0583688187329007,0.3097337639777855,-1.224006271413901,-0.0455495778793711,-0.994018574027778,0.2222222222222222,0.1703469355987287,-0.6830354570159184,0.1777083031077594,-0.6630697001033903,0.3126542260310855,CONVERGED,PILOT
