signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p
SIG001,T1,ALL_COHORTS,4,172,-0.3785770092566108,0.01679940455642919,-0.4320402122181945,-0.3251138062950271,0.0,0.0,-0.45085901312860066,-0.30629500538462096,1.0,0.00019134607333345666,GSE236713;GSE54514;GSE57065;GSE95233,
SIG001,T1,PILOT_ONLY,2,59,-0.43261108089770905,0.008736656510592468,-0.5436208272331794,-0.3216013345622387,0.0,0.0,,,1.0,0.012854900335442067,GSE54514;GSE57065,
SIG001,T1,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.36405039858749705,0.007602806867779658,-0.4606532192210574,-0.2674475779539367,0.0,0.0,,,1.0,0.013293197119700418,GSE236713;GSE95233,
SIG001,T1,PRIMARY_INDEPENDENT,4,172,-0.3785770092566108,0.01679940455642919,-0.4320402122181945,-0.3251138062950271,0.0,0.0,-0.45085901312860066,-0.30629500538462096,1.0,0.00019134607333345666,GSE236713;GSE54514;GSE57065;GSE95233,0.0015307685866676533
SIG001,T1,STRICT_NEVER_USED,2,113,-0.36405039858749705,0.007602806867779658,-0.4606532192210574,-0.2674475779539367,0.0,0.0,,,1.0,0.013293197119700418,GSE236713;GSE95233,
SIG001,T2,ALL_COHORTS,5,146,-0.8550776766665187,0.17853358664446164,-1.3507663794189413,-0.3593889739140961,0.14033502808704526,87.39226194985913,-2.1757325775205043,0.4655772241874667,1.0,0.008715065688001315,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG001,T2,PILOT_ONLY,2,54,-0.7916281940623259,0.0838482881253745,-1.8570217097826824,0.2737653216580306,0.0,0.0,,,1.0,0.06717950907261533,GSE54514;GSE57065,
SIG001,T2,PRESPECIFIED_NON_PILOT_ONLY,3,92,-0.8847090690254305,0.3118485462549397,-2.22648506782102,0.4570669297701593,0.2731836864265457,93.59970606786703,-8.618114905676018,6.848696767625157,1.0,0.10503363724780396,GSE110487;GSE8121;GSE95233,
SIG001,T2,PRIMARY_INDEPENDENT,5,146,-0.8550776766665187,0.17853358664446164,-1.3507663794189413,-0.3593889739140961,0.14033502808704526,87.39226194985913,-2.1757325775205043,0.4655772241874667,1.0,0.008715065688001315,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,0.043575328440006576
SIG001,T2,STRICT_NEVER_USED,3,92,-0.8847090690254305,0.3118485462549397,-2.22648506782102,0.4570669297701593,0.2731836864265457,93.59970606786703,-8.618114905676018,6.848696767625157,1.0,0.10503363724780396,GSE110487;GSE8121;GSE95233,
SIG001,T3,ALL_COHORTS,1,18,-0.41197170539814754,,,,,,,,1.0,,GSE54514,
SIG001,T3,PILOT_ONLY,1,18,-0.41197170539814754,,,,,,,,1.0,,GSE54514,
SIG001,T3,PRIMARY_INDEPENDENT,1,18,-0.41197170539814754,,,,,,,,1.0,,GSE54514,
SIG001,T4,ALL_COHORTS,2,82,-0.811846502677311,0.019738239832168616,-1.0626446191216445,-0.5610483862329774,0.0,0.0,,,1.0,0.015474943437038584,GSE236713;GSE54514,
SIG001,T4,PILOT_ONLY,1,14,-0.8863736691778277,,,,,,,,1.0,,GSE54514,
SIG001,T4,PRESPECIFIED_NON_PILOT_ONLY,1,68,-0.8066189040717808,,,,,,,,1.0,,GSE236713,
SIG001,T4,PRIMARY_INDEPENDENT,2,82,-0.811846502677311,0.019738239832168616,-1.0626446191216445,-0.5610483862329774,0.0,0.0,,,1.0,0.015474943437038584,GSE236713;GSE54514,
SIG001,T4,STRICT_NEVER_USED,1,68,-0.8066189040717808,,,,,,,,1.0,,GSE236713,
SIG002,T1,ALL_COHORTS,4,172,-0.07721696135210478,0.023676602889490563,-0.15256647873944673,-0.0018674439647628355,0.0,0.0,-0.1790891614045029,0.024655238700293347,1.0,0.04708461018897568,GSE236713;GSE54514;GSE57065;GSE95233,
SIG002,T1,PILOT_ONLY,2,59,-0.15125394878153814,3.028824675511787e-06,-0.15129243364797595,-0.15121546391510032,0.0,0.0,,,1.0,1.2748160895904161e-05,GSE54514;GSE57065,
SIG002,T1,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.06320587402043759,0.02768313739862518,-0.41495348555414935,0.28854173751327417,0.0,0.0,,,1.0,0.2628070136578634,GSE236713;GSE95233,
SIG002,T1,PRIMARY_INDEPENDENT,3,141,-0.07087568570629159,0.025652096747838728,-0.18124774980080943,0.03949637838822624,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.10983111590360374,GSE236713;GSE57065;GSE95233,0.21966223180720748
SIG002,T1,STRICT_NEVER_USED,3,141,-0.07087568570629159,0.025652096747838728,-0.18124774980080943,0.03949637838822624,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.10983111590360374,GSE236713;GSE57065;GSE95233,
SIG002,T2,ALL_COHORTS,5,146,-0.5981934849391153,0.12837287818746784,-0.9546137342228637,-0.2417732356553669,0.03421603612852859,49.06564070595544,-1.3147432461676165,0.11835627628938594,1.0,0.009590907051012369,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG002,T2,PILOT_ONLY,2,54,-0.43757022504583254,0.35224113445247973,-4.913218195992145,4.0380777459004795,0.20014000549324906,80.63983999761943,,,1.0,0.43148705333733955,GSE54514;GSE57065,
SIG002,T2,PRESPECIFIED_NON_PILOT_ONLY,3,92,-0.6663081670834609,0.08520161091188419,-1.032901110847988,-0.29971522331893374,0.0,0.0,-1.748897279203688,0.4162809450367665,1.0,0.01596062883909219,GSE110487;GSE8121;GSE95233,
SIG002,T2,PRIMARY_INDEPENDENT,4,118,-0.6885895701194436,0.06819606809901675,-0.9056198950760734,-0.47155924516281367,0.0,0.0,-0.9820135686802219,-0.39516557155866516,1.0,0.002068907909360363,GSE110487;GSE57065;GSE8121;GSE95233,0.014482355365522542
SIG002,T2,STRICT_NEVER_USED,4,118,-0.6885895701194436,0.06819606809901675,-0.9056198950760734,-0.47155924516281367,0.0,0.0,-0.9820135686802219,-0.39516557155866516,1.0,0.002068907909360363,GSE110487;GSE57065;GSE8121;GSE95233,
SIG002,T3,ALL_COHORTS,1,18,0.20417556034949935,,,,,,,,1.0,,GSE54514,
SIG002,T3,PILOT_ONLY,1,18,0.20417556034949935,,,,,,,,1.0,,GSE54514,
SIG002,T4,ALL_COHORTS,2,82,-0.15218592545121107,0.04251007780838365,-0.6923276774461924,0.3879558265437702,0.0,0.0,,,1.0,0.1734070786490872,GSE236713;GSE54514,
SIG002,T4,PILOT_ONLY,1,14,-0.2715841690750945,,,,,,,,1.0,,GSE54514,
SIG002,T4,PRESPECIFIED_NON_PILOT_ONLY,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,
SIG002,T4,PRIMARY_INDEPENDENT,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,
SIG002,T4,STRICT_NEVER_USED,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,
SIG003,T1,ALL_COHORTS,4,172,-0.20898123022987922,0.05394607538971752,-0.380661718538472,-0.03730074192128641,0.0,0.0,-0.44109245876184117,0.023129998302082733,1.0,0.030447759576278027,GSE236713;GSE54514;GSE57065;GSE95233,
SIG003,T1,PILOT_ONLY,2,59,-0.3329990910048333,0.10338053842749231,-1.6465733780271363,0.9805751960174698,0.0,0.0,,,1.0,0.19163453446460255,GSE54514;GSE57065,
SIG003,T1,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.16528218350134707,0.02668142360524638,-0.5043018144890797,0.17373744748638562,0.0,0.0,,,1.0,0.10189022336892556,GSE236713;GSE95233,
SIG003,T1,PRIMARY_INDEPENDENT,3,141,-0.17308860011740615,0.022223670969938977,-0.268709338680083,-0.0774678615547293,0.0,0.0,-0.4554671134565532,0.10928991322174095,1.0,0.016088459697438672,GSE236713;GSE57065;GSE95233,0.04826537909231601
SIG003,T1,STRICT_NEVER_USED,3,141,-0.17308860011740615,0.022223670969938977,-0.268709338680083,-0.0774678615547293,0.0,0.0,-0.4554671134565532,0.10928991322174095,1.0,0.016088459697438672,GSE236713;GSE57065;GSE95233,
SIG003,T2,ALL_COHORTS,5,146,-0.8102552483310567,0.1663396345921369,-1.2720881125947856,-0.34842238406732773,0.07451779022861488,55.703161158565706,-1.8275766855469922,0.2070661888848787,1.0,0.008213228561749409,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG003,T2,PILOT_ONLY,2,54,-0.5476005076990512,0.2806950216620924,-4.11416892143484,3.018967906036737,0.1061595364495585,67.36828504011424,,,1.0,0.301547366420496,GSE54514;GSE57065,
SIG003,T2,PRESPECIFIED_NON_PILOT_ONLY,3,92,-0.9751852615875118,0.1492301587935834,-1.6172708116737122,-0.33309971150131157,0.032607507816131254,23.417491758884502,-3.9517245249962514,2.0013540018212277,1.0,0.022625692972723963,GSE110487;GSE8121;GSE95233,
SIG003,T2,PRIMARY_INDEPENDENT,4,118,-0.8986462115572165,0.1021424244553224,-1.2237089928778342,-0.5735834302365987,0.0007519851137141779,0.0,-1.3536923718150016,-0.4436000512994315,1.0,0.003093744323549288,GSE110487;GSE57065;GSE8121;GSE95233,0.01856246594129573
SIG003,T2,STRICT_NEVER_USED,4,118,-0.8986462115572165,0.1021424244553224,-1.2237089928778342,-0.5735834302365987,0.0007519851137141779,0.0,-1.3536923718150016,-0.4436000512994315,1.0,0.003093744323549288,GSE110487;GSE57065;GSE8121;GSE95233,
SIG003,T3,ALL_COHORTS,1,18,-0.13324538099638483,,,,,,,,1.0,,GSE54514,
SIG003,T3,PILOT_ONLY,1,18,-0.13324538099638483,,,,,,,,1.0,,GSE54514,
SIG003,T4,ALL_COHORTS,2,82,-0.5652094457278025,0.10699363445302426,-1.9246924705829036,0.7942735791272986,0.0,0.0,,,1.0,0.1191022470148636,GSE236713;GSE54514,
SIG003,T4,PILOT_ONLY,1,14,-0.2535405595270996,,,,,,,,1.0,,GSE54514,
SIG003,T4,PRESPECIFIED_NON_PILOT_ONLY,1,68,-0.60193957286053,,,,,,,,1.0,,GSE236713,
SIG003,T4,PRIMARY_INDEPENDENT,1,68,-0.60193957286053,,,,,,,,1.0,,GSE236713,
SIG003,T4,STRICT_NEVER_USED,1,68,-0.60193957286053,,,,,,,,1.0,,GSE236713,
SIG004,T1,ALL_COHORTS,4,172,0.08081603717132216,0.07232944047820353,-0.14936852344181467,0.311000597784459,0.0,13.780497545682838,-0.23039242733961487,0.3920245016822592,0.5,0.34527178371194106,GSE236713;GSE54514;GSE57065;GSE95233,
SIG004,T1,PILOT_ONLY,2,59,0.09155705783080713,0.1481952377616758,-1.7914419741332785,1.9745560897948928,0.008103806622604567,18.008035945584172,,,0.5,0.6476850763356665,GSE54514;GSE57065,
SIG004,T1,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.00034822075732532045,0.17294414134285144,-2.197811888626046,2.1971154471113956,0.03774558115991408,55.702455700978184,,,0.5,0.9987181761812647,GSE236713;GSE95233,
SIG004,T1,PRIMARY_INDEPENDENT,3,141,0.026963430801954576,0.09401628001842241,-0.37755597305518745,0.4314828346590966,0.00869776584721682,23.650880253571568,-1.65567713444897,1.7096039960528793,0.3333333333333333,0.8012507544975208,GSE236713;GSE57065;GSE95233,0.8012507544975208
SIG004,T1,STRICT_NEVER_USED,3,141,0.026963430801954576,0.09401628001842241,-0.37755597305518745,0.4314828346590966,0.00869776584721682,23.650880253571568,-1.65567713444897,1.7096039960528793,0.3333333333333333,0.8012507544975208,GSE236713;GSE57065;GSE95233,
SIG004,T2,ALL_COHORTS,5,146,0.6287187317011099,0.11149701546182825,0.3191533888779536,0.9382840745242662,0.033895440328251696,41.326182769534604,-0.0562618970518628,1.3136993604540828,1.0,0.0048685359138219446,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG004,T2,PILOT_ONLY,2,54,0.41370627214087047,0.06484708039792846,-0.410254007955081,1.237666552236822,0.0,0.0,,,1.0,0.09898262141283061,GSE54514;GSE57065,
SIG004,T2,PRESPECIFIED_NON_PILOT_ONLY,3,92,0.7838940516375833,0.12257795635195373,0.256483673139275,1.3113044301358916,0.013821070774531981,13.464851411325258,-1.3741577065784383,2.9419458098536047,1.0,0.023589971928908805,GSE110487;GSE8121;GSE95233,
SIG004,T2,PRIMARY_INDEPENDENT,4,118,0.6972451968898257,0.1147316660986456,0.33211783001508327,1.062372563764568,0.02560204007661412,31.161914648730605,-0.14990107439604217,1.5443914681756934,1.0,0.00894481463318799,GSE110487;GSE57065;GSE8121;GSE95233,0.043575328440006576
SIG004,T2,STRICT_NEVER_USED,4,118,0.6972451968898257,0.1147316660986456,0.33211783001508327,1.062372563764568,0.02560204007661412,31.161914648730605,-0.14990107439604217,1.5443914681756934,1.0,0.00894481463318799,GSE110487;GSE57065;GSE8121;GSE95233,
SIG004,T3,ALL_COHORTS,1,18,0.06135947162628715,,,,,,,,1.0,,GSE54514,
SIG004,T3,PILOT_ONLY,1,18,0.06135947162628715,,,,,,,,1.0,,GSE54514,
SIG004,T4,ALL_COHORTS,2,82,0.3833891689140641,0.06475532677997926,-0.43940527092691656,1.2061836087550448,0.0,0.0,,,1.0,0.1065212147776967,GSE236713;GSE54514,
SIG004,T4,PILOT_ONLY,1,14,0.5811404654642642,,,,,,,,1.0,,GSE54514,
SIG004,T4,PRESPECIFIED_NON_PILOT_ONLY,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,
SIG004,T4,PRIMARY_INDEPENDENT,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,
SIG004,T4,STRICT_NEVER_USED,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,
SIG022,T1,ALL_COHORTS,4,172,-0.05683979883162078,0.08123018315368197,-0.31535049508661994,0.2016708974233784,0.010086705835168425,49.54582755141195,-0.612616109897399,0.4989365122341574,0.5,0.5344696403659274,GSE236713;GSE54514;GSE57065;GSE95233,
SIG022,T1,PILOT_ONLY,2,59,0.0015857546884969218,0.127971726477234,-1.6244492024059265,1.6276207117829204,0.01549441340101639,44.47691698881452,,,0.5,0.9921117644394822,GSE54514;GSE57065,
SIG022,T1,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.11651426443805742,0.14433464789652475,-1.9504598511721392,1.7174313222960242,0.03220475599817688,75.55296772679849,,,0.5,0.5676418656522193,GSE236713;GSE95233,
